Review_ID,Movie_ID,Reviewer_Name,Review_Rating,Reviewer_Nationality,Reviewer_Age,Review_Date,Sex
28,The Godfather,Matthew Paul,9,Canada,29,6/1/2024,Female
111,12 Angry Men,Ashley Pratt,9,Canada,65,6/1/2024,Male
390,Goodfellas,Robert Burton,8,China,50,6/1/2024,Male
437,Hamilton,Brian Hall,6,Australia,27,6/1/2024,Male
446,Hamilton,Jackie White,7,Canada,34,6/1/2024,Male
451,Hamilton,Ruben Evans,10,Germany,67,6/1/2024,Female
462,Hamilton,Tyler Harris PhD,8,India,20,6/1/2024,Unknown
507,Gisaengchung,Mitchell Harris,9,Brazil,23,6/1/2024,Female
684,Saving Private Ryan,Thomas Santiago,10,Canada,42,6/1/2024,Male
876,Seppuku,Paul Gill,9,USA,43,6/1/2024,Female
906,Joker,Mary Leach,8,USA,60,6/1/2024,Female
1009,The Departed,Daniel Pierce,9,Canada,41,6/1/2024,Female
1127,Terminator 2: Judgment Day,Christopher King,9,France,34,6/1/2024,Female
1250,Once Upon a Time in the West,Dawn Ross,8,USA,38,6/1/2024,Female
1477,Spider-Man: Into the Spider-Verse,Joshua Morrison,10,USA,26,6/1/2024,Female
1488,Spider-Man: Into the Spider-Verse,Christopher Burns,10,China,60,6/1/2024,Female
1514,Avengers: Endgame,Jamie Patterson,7,Germany,57,6/1/2024,Male
1600,Coco,Jessica Riggs,10,India,19,6/1/2024,Male
1622,Coco,Ashley Turner,10,Germany,35,6/1/2024,Female
1673,The Dark Knight Rises,Crystal Schultz,9,India,73,6/1/2024,Female
1769,Taare Zameen Par,Kim Gomez,10,China,68,6/1/2024,Male
1831,Oldeuboi,Bobby Carter,10,Germany,56,6/1/2024,Unknown
2073,Anand,Lisa Moody,6,Australia,66,6/1/2024,Male
2120,Tengoku to jigoku,James Peterson,10,Germany,73,6/1/2024,Male
2282,Sunset Blvd.,Bridget Jones,10,India,19,6/1/2024,Male
2322,The Great Dictator,Michael Oconnor,10,USA,64,6/1/2024,Female
2607,Inglourious Basterds,Kelsey Norris,8,China,48,6/1/2024,Male
2883,Toy Story,Sabrina Sanchez,7,Germany,68,6/1/2024,Male
2897,Reservoir Dogs,Scott Davis,7,USA,29,6/1/2024,Male
2997,Amadeus,David Marshall,7,China,46,6/1/2024,Female
3027,Scarface,Sheila Burton,10,Germany,34,6/1/2024,Female
3614,Chhichhore,Rachel Henderson,7,Canada,41,6/1/2024,Male
3698,Green Book,Robert Johnson,9,UK,54,6/1/2024,Female
3749,"Three Billboards Outside Ebbing, Missouri",William Jones,7,USA,30,6/1/2024,Female
4041,Paan Singh Tomar,Mr. Paul Hamilton DDS,10,USA,58,6/1/2024,Male
4150,Shutter Island,Christina Harvey,10,China,27,6/1/2024,Female
4313,V for Vendetta,Amanda Mcgee,4,Canada,58,6/1/2024,Male
4316,V for Vendetta,Rebekah Esparza,6,UK,73,6/1/2024,Male
4417,Batman Begins,Vanessa Hale,8,USA,37,6/1/2024,Female
4782,Casino,Tamara Atkinson,7,USA,74,6/1/2024,Female
5010,Raging Bull,David Schroeder,10,India,59,6/1/2024,Male
5172,The Great Escape,Colin Mccall,8,USA,26,6/1/2024,Male
5206,To Kill a Mockingbird,Colleen Schwartz,9,Australia,44,6/1/2024,Female
5350,Smultronstället,Mary Lopez,10,USA,20,6/1/2024,Female
5549,All About Eve,Angela Rodriguez,7,Canada,19,6/1/2024,Male
5674,The Gold Rush,Candace Smith,9,Canada,32,6/1/2024,Female
5852,Ah-ga-ssi,Megan Jackson,4,Canada,30,6/1/2024,Male
6039,Soul,Robert Bray,8,China,75,6/1/2024,Male
6049,Kis Uykusu,Daniel Nash,10,China,25,6/1/2024,Female
6072,PK,Allen Berger,10,Germany,23,6/1/2024,Female
6083,OMG: Oh My God!,Michele Ramsey,7,USA,48,6/1/2024,Male
6106,The Grand Budapest Hotel,Hannah Garcia,8,China,35,6/1/2024,Female
6253,Rush,Daniel Gallegos,4,Australia,61,6/1/2024,Male
6256,Rush,Dylan Kirk,8,India,51,6/1/2024,Female
6409,Prisoners,Angela Porter,9,UK,33,6/1/2024,Male
6632,How to Train Your Dragon,Krista Glover,10,USA,38,6/1/2024,Male
6635,How to Train Your Dragon,Jennifer Peters,8,USA,30,6/1/2024,Male
6823,Before Sunset,Carla Nelson,6,USA,54,6/1/2024,Female
6960,Finding Nemo,Mathew Ramirez,5,USA,42,6/1/2024,Male
7028,"Monsters, Inc.",Jerry Frazier,6,Germany,73,6/1/2024,Male
7317,Dilwale Dulhania Le Jayenge,Marcus Kelly,10,India,36,6/1/2024,Male
7318,Before Sunrise,Thomas Parker,6,Germany,35,6/1/2024,Male
7596,Platoon,Emily Lopez,7,Australia,51,6/1/2024,Male
7693,Pink Floyd: The Wall,Alexander Mckee,10,USA,40,6/1/2024,Female
7826,Network,Ruth Lee,7,Canada,66,6/1/2024,Male
8154,El ángel exterminador,Christy Hensley,7,Australia,68,6/1/2024,Female
8285,The Man Who Shot Liberty Valance,Joseph Thomas,10,Japan,43,6/1/2024,Unknown
8520,Le salaire de la peur,Sarah Mcpherson,8,China,23,6/1/2024,Female
